r1^t,r2^t,r3^t,r1^t+1,
0.0,0.0,0.0,0.0,0.9954853273137697
0.0,0.0,0.0,1.0,0.004514672686230248
0.0,0.0,1.0,0.0,0.9061784897025172
0.0,0.0,1.0,1.0,0.09382151029748284
0.0,1.0,0.0,0.0,0.8586956521739131
0.0,1.0,0.0,1.0,0.14130434782608695
0.0,1.0,1.0,0.0,0.6666666666666666
0.0,1.0,1.0,1.0,0.3333333333333333
1.0,0.0,0.0,0.0,0.03483309143686502
1.0,0.0,0.0,1.0,0.965166908563135
1.0,0.0,1.0,0.0,0.09533073929961089
1.0,0.0,1.0,1.0,0.9046692607003891
1.0,1.0,0.0,0.0,0.04901960784313727
1.0,1.0,0.0,1.0,0.9509803921568628
1.0,1.0,1.0,0.0,0.046875
1.0,1.0,1.0,1.0,0.953125
